image,cipher,variant,width,height,channels,bytes,keygen_ms,permutation_ms,diffusion_ms,total_ms,MBps,correct
images/datasets/real/kodak/kodim02.png,logistic_xor,scalar_avx2,768,512,3,1179648,4.75419,0.000635,1.78252,8.3281,135.085,1
images/datasets/real/kodak/kodim02.png,logistic_permute_xor,scalar_avx2,768,512,3,1179648,3.84767,71.9568,1.41263,78.6279,14.3079,1
images/datasets/real/kodak/kodim02.png,arnold_xor,scalar_avx2,768,512,3,1179648,3.76948,4.38773,0.423433,8.9773,125.316,1
images/datasets/real/kodak/kodim02.png,tiled_arnold_xor,scalar_avx2,768,512,3,1179648,3.72059,5.49341,1.61447,12.0369,93.4628,1
images/datasets/real/kodak/kodim02.png,tent_block_xor,scalar_avx2,768,512,3,1179648,10.1499,0.000554,1.46701,12.8445,87.5859,1
images/datasets/real/kodak/kodim02.png,sine_xor,scalar_avx2,768,512,3,1179648,44.6972,0.000589,0.708748,45.8413,24.5412,1
images/datasets/real/kodak/kodim02.png,coupled_lattice_xor,scalar_avx2,768,512,3,1179648,14.7972,0.000605,0.751359,16.0058,70.2868,1
images/datasets/real/kodak/kodim02.png,hamiltonian_lattice_xor,scalar_avx2,768,512,3,1179648,92.2807,0.000609,0.746614,93.4668,12.0364,1
images/datasets/real/kodak/kodim02.png,chaotic_seed_blake3_xor,scalar_avx2,768,512,3,1179648,2.7028,0.00061,0.514044,3.6208,310.705,1
images/datasets/real/kodak/kodim02.png,aes_ctr,openssl_evp,768,512,3,1179648,0,0,2.79425,3.14893,357.264,1
images/datasets/real/kodak/kodim02.png,chacha20,openssl_evp,768,512,3,1179648,0,0,0.667514,1.25285,897.95,1
