MBps_ci95,MBps_max,MBps_mean,MBps_mean_speedup_vs_baseline,MBps_median,MBps_min,MBps_stddev,category,image_size,n,stage
10.114174904331712,415.795,401.92699999999996,1.900756499765909,400.714,381.584,12.640085553507937,diffusion,512x768,6,arx_block_diffusion
9.414846388536427,442.501,400.69377777777777,1.8060007652197603,399.379,358.008,20.37949507703199,diffusion,768x512,18,arx_block_diffusion
5.4851035164732,228.027,219.3495,1.037327643690029,219.61950000000002,210.307,6.854951429441349,diffusion,512x768,6,arx_prefix_mod256
7.7735109540600265,237.374,223.6351111111111,1.0079646957249855,227.4115,162.904,16.826639722174754,diffusion,768x512,18,arx_prefix_mod256
7.665009059777499,275.216,265.46066666666667,1.2553923662726267,267.2885,248.7,9.579265852176079,diffusion,512x768,6,bitplane_diffusion
6.536539485192834,296.607,271.094,1.2218706618349648,271.321,233.339,14.14907570042901,diffusion,768x512,18,bitplane_diffusion
6.206582656027924,298.443,284.6755,1.3462614030635167,283.20050000000003,276.554,7.756612527385904,diffusion,512x768,6,block_local_chain
5.534915241353164,300.177,285.5372777777778,1.2869691788711206,288.96450000000004,262.743,11.980947246286526,diffusion,768x512,18,block_local_chain
20.01840398293975,232.721,211.45633333333333,1.0,217.464,164.724,25.017793481173893,diffusion,512x768,6,global_chain
5.510922932915917,237.8,221.868,1.0,225.47899999999998,191.072,11.929013193248883,diffusion,768x512,18,global_chain
21.80164021845064,497.851,462.7851666666666,2.188561389349101,464.3225,426.289,27.24637453619594,diffusion,512x768,6,multilane_chain_avx2
9.37212332129077,510.164,474.16149999999993,2.1371333405448283,472.956,441.206,20.287016187554975,diffusion,768x512,18,multilane_chain_avx2
11.58336500120716,285.852,262.7561666666667,1.2426024916097729,260.507,249.115,14.476190692536017,diffusion,512x768,6,parallel_prefix
9.50410440582391,290.933,264.89427777777775,1.1939273702281434,270.227,207.185,20.572704105499067,diffusion,768x512,18,parallel_prefix
7.0309958893548306,170.804,158.90666666666667,0.7514869106151152,160.3495,144.801,8.786914445165992,diffusion,512x768,6,prefix_tree_reverse
4.339429667594447,182.411,165.22622222222222,0.7447050598654255,167.3415,147.427,9.393184115626894,diffusion,768x512,18,prefix_tree_reverse
12.197054716509216,360.53,337.19149999999996,1.594615279119881,336.49649999999997,321.451,15.243143071558421,diffusion,512x768,6,prefix_xor_avx2
5.383123200969947,372.919,346.6846666666667,1.5625717393525282,346.3455,327.913,11.65237628378107,diffusion,768x512,18,prefix_xor_avx2
5.863090846081476,281.203,269.2336666666667,1.273235293654009,268.995,261.736,7.327337188001286,diffusion,512x768,6,reverse_prefix_xor_avx2
6.339971593423896,293.608,270.3253888888889,1.2184063897853177,272.49,234.631,13.723582366041175,diffusion,768x512,18,reverse_prefix_xor_avx2
6.208479525703891,178.426,173.27566666666667,0.8194394745014337,175.613,157.697,7.758983120658699,diffusion,512x768,6,stencil_diffusion
6.446207059394152,191.748,170.8905,0.7702350045973282,176.1165,136.94,13.953540993765914,diffusion,768x512,18,stencil_diffusion
15.198724207104586,454.403,433.58,2.0504469795970484,433.065,405.426,18.994448494231158,diffusion,512x768,6,tree_xor_avx2
17.0704808646928,494.746,444.348,2.002758396884634,450.282,333.608,36.95097789042698,diffusion,768x512,18,tree_xor_avx2
