MBps_mean,dataset,family,fps_eq_mean,image_size,meets_30fps,meets_60fps,ms_ci95,ms_mean,ms_p95,n,name
70.49557222222222,kodak_photocd,candidate,62.65917170144716,512x768,yes,yes,0.05718471167922304,15.959355555555554,16.227815,18,Affine-CA-PrefixTree
69.48440925925927,kodak_photocd,candidate,61.667038191538744,768x512,yes,yes,0.18520972805348193,16.216118518518517,17.273,54,Affine-CA-PrefixTree
60.47195555555556,synthetic_control,candidate,20.140184636261555,1024x1024,no,no,1.032905411357141,49.65197777777777,52.29636,9,Affine-CA-PrefixTree
59.54415555555555,synthetic_control,candidate,4.9601753036178415,2048x2048,no,no,2.684790140703692,201.60577777777777,207.0888,9,Affine-CA-PrefixTree
58.20788888888889,synthetic_control,candidate,1.2122964032378012,4096x4096,no,no,9.962483694823286,824.8807777777778,844.4162,9,Affine-CA-PrefixTree
70.01283333333333,synthetic_control,candidate,93.34821373007016,512x512,yes,yes,0.036152080274827074,10.712577777777778,10.792900000000001,9,Affine-CA-PrefixTree
63.668274999999994,video_frame_workload,candidate,24.092626511887605,1280x720,no,no,0.7167925785252741,41.506474999999995,43.793925,36,Affine-CA-PrefixTree
62.77921666666667,video_frame_workload,candidate,10.579695301836503,1920x1080,no,no,0.4697660758228162,94.52068055555554,96.569525,36,Affine-CA-PrefixTree
68.57991666666666,kodak_photocd,candidate,60.958511636979864,512x768,yes,yes,0.03771633442360157,16.404600000000002,16.544455,18,Affine-CML-Bitplane
67.79351851851851,kodak_photocd,candidate,60.18161473959193,768x512,yes,yes,0.17257431280474694,16.61637037037037,18.083909999999996,54,Affine-CML-Bitplane
59.46443333333333,synthetic_control,candidate,19.818388690130025,1024x1024,no,no,0.43946699463636113,50.458188888888884,51.592639999999996,9,Affine-CML-Bitplane
57.877177777777774,synthetic_control,candidate,4.818939073082423,2048x2048,no,no,4.247365363149137,207.51455555555557,216.7832,9,Affine-CML-Bitplane
68.01094444444443,synthetic_control,candidate,90.67672036407711,512x512,yes,yes,0.054188451349018375,11.028188888888888,11.16572,9,Affine-CML-Bitplane
62.662958333333336,video_frame_workload,candidate,23.754291938664306,1280x720,no,no,0.31052905227718697,42.097655555555555,43.430375,36,Affine-CML-Bitplane
61.31100555555555,video_frame_workload,candidate,10.33226201169945,1920x1080,no,no,0.4819196172802837,96.78422777777777,99.41725,36,Affine-CML-Bitplane
65.68181666666666,kodak_photocd,candidate,58.37777882281209,512x768,yes,no,0.08345974465678499,17.129805555555556,17.526584999999997,18,CA-Feistel-ARX
64.88109444444444,kodak_photocd,candidate,57.542101904291926,768x512,yes,no,0.23885736828753382,17.37857962962963,19.605334999999997,54,CA-Feistel-ARX
111.01666666666667,synthetic_control,candidate,36.990608495509754,1024x1024,yes,no,0.3804064322981766,27.03388888888889,27.95962,9,CA-Feistel-ARX
116.70244444444445,synthetic_control,candidate,9.724473257698541,2048x2048,no,no,0.6233731307081564,102.83333333333333,104.1696,9,CA-Feistel-ARX
114.312,synthetic_control,candidate,2.3812742939587865,4096x4096,no,no,2.865563007395414,419.94322222222223,427.00239999999997,9,CA-Feistel-ARX
108.64255555555556,synthetic_control,candidate,144.79961824385092,512x512,yes,yes,0.09717726955810137,6.906095555555556,7.135624,9,CA-Feistel-ARX
87.78366944444446,video_frame_workload,candidate,33.19693083308805,1280x720,yes,no,0.5938485533808544,30.123266666666666,32.170950000000005,36,CA-Feistel-ARX
114.55691666666667,video_frame_workload,candidate,19.297207495742956,1920x1080,no,no,0.45828462986131613,51.820969444444444,53.41585,36,CA-Feistel-ARX
