MBps_ci95,MBps_max,MBps_mean,MBps_mean_speedup_vs_baseline,MBps_median,MBps_min,MBps_stddev,cipher,image_size,n,variant
10.826942740733022,1458.66,1439.1,6.933817719274577,1439.28,1400.58,16.571851133775034,aes_256_gcm,1024x1024,9,openssl_evp_aead
23.719649997183023,1469.4,1404.510277777778,7.117417669653281,1437.26,1213.51,72.61117346076435,aes_256_gcm,1280x720,36,openssl_evp_aead
5.774045342642275,1486.99,1463.1591666666668,6.46013482537531,1466.335,1393.55,17.675649008088595,aes_256_gcm,1920x1080,36,openssl_evp_aead
25.94118536887282,1451.86,1396.4033333333332,7.727230805554326,1398.11,1322.14,39.705895972764516,aes_256_gcm,512x512,9,openssl_evp_aead
30.40637322797661,1441.51,1273.0244444444443,7.1591047198133175,1246.8049999999998,1144.79,65.81801847181026,aes_256_gcm,512x768,18,openssl_evp_aead
28.622699357760936,1467.62,1260.3101666666666,7.032582583575583,1241.42,957.569,107.31276809326849,aes_256_gcm,768x512,54,openssl_evp_aead
14.984800945656007,867.632,809.0546666666667,3.898156892220916,805.323,788.299,22.935919814779602,aes_ctr,1024x1024,9,openssl_evp
12.10062006665828,821.198,768.9740277777778,3.8968097417340264,765.2470000000001,661.547,37.04271448977025,aes_ctr,1280x720,36,openssl_evp
11.551540337086363,1178.04,1139.2975,5.030222018142041,1152.6,1053.14,35.361858174754175,aes_ctr,1920x1080,36,openssl_evp
11.541813206222557,358.297,333.614,1.846108725485856,336.795,301.58,17.66604062176922,aes_ctr,512x512,9,openssl_evp
4.991180606947744,474.447,457.07950000000005,2.5704769614286196,459.159,434.344,10.803972408059808,aes_ctr,512x768,18,openssl_evp
7.768737113750379,484.537,447.2026111111111,2.495408969482135,454.6885,338.482,29.126696746699817,aes_ctr,768x512,54,openssl_evp
1.253697744205983,161.133,157.86788888888887,0.7606331493865943,157.167,155.492,1.9189251186826268,arnold_xor,1024x1024,9,scalar_avx2
1.6566075198137475,160.481,155.64730555555556,0.7887495736576674,156.082,129.233,5.071247509633921,arnold_xor,1280x720,36,scalar_avx2
0.8162063307930576,160.787,158.12216666666666,0.6981403929377464,159.529,151.449,2.4985908085501762,arnold_xor,1920x1080,36,scalar_avx2
2.9078108840419947,158.04,155.51977777777776,0.8605946355404056,157.692,144.124,4.4507309449622365,arnold_xor,512x512,9,scalar_avx2
0.8639078446994974,157.243,155.3285,0.8735205379004424,155.65,150.126,1.8700258019610287,arnold_xor,512x768,18,scalar_avx2
2.019508148377359,156.383,151.72825925925923,0.8466499292988119,154.4975,122.337,7.571578308547025,arnold_xor,768x512,54,scalar_avx2
4.126160582055506,857.311,849.9172222222222,4.095039326913399,847.528,841.735,6.315551911309448,chacha20,1024x1024,9,openssl_evp
10.893874546491055,865.863,829.1276944444445,4.2016410959802695,842.6305,704.057,33.34859555048282,chacha20,1280x720,36,openssl_evp
3.664309868310775,866.806,846.7864722222222,3.738728433299508,848.394,808.96,11.217275107073801,chacha20,1920x1080,36,openssl_evp
15.507548505931299,854.139,829.0235555555555,4.587540149827103,828.272,775.835,23.736043631527497,chacha20,512x512,9,openssl_evp
11.556678550080361,844.501,787.5063333333333,4.428697604710909,786.5285,733.421,25.015731951290636,chacha20,512x768,18,openssl_evp
12.530923744791652,857.193,781.4665925925926,4.360615738940049,774.2135000000001,608.312,46.981177317038764,chacha20,768x512,54,openssl_evp
3.8443267514175083,631.327,620.6502222222222,2.9903936545869976,618.675,612.026,5.884173599108431,chacha20_poly1305,1024x1024,9,openssl_evp_aead
8.391709240869634,627.893,606.6595555555555,3.074274007454638,617.2265,495.674,25.68890583939684,chacha20_poly1305,1280x720,36,openssl_evp_aead
3.0573371990199014,629.721,620.2190277777777,2.7383887084790652,621.4114999999999,573.652,9.35919550720378,chacha20_poly1305,1920x1080,36,openssl_evp_aead
13.141101389151542,622.607,607.5531111111111,3.3619964978037493,616.299,565.544,20.11393069768093,chacha20_poly1305,512x512,9,openssl_evp_aead
7.018444810514042,620.547,583.9547777777777,3.2839851771824087,583.307,560.652,15.192214037442897,chacha20_poly1305,512x768,18,openssl_evp_aead
9.600028168026636,622.813,575.9065740740741,3.213582378147402,580.6775,453.408,35.99260795103699,chacha20_poly1305,768x512,54,openssl_evp_aead
6.674716115690369,444.049,418.87344444444443,2.018200341340049,415.501,409.213,10.216402217893423,chaotic_seed_blake3_xor,1024x1024,9,scalar_avx2
6.555506040939126,446.636,421.0786388888889,2.133834541590671,418.0735,356.727,20.067875635527937,chaotic_seed_blake3_xor,1280x720,36,scalar_avx2
2.8621067093236676,447.673,438.21466666666663,1.9348037408485859,441.7455,412.522,8.76155115099082,chaotic_seed_blake3_xor,1920x1080,36,scalar_avx2
15.189223071959061,448.35,422.54999999999995,2.3382509185886935,425.289,387.775,23.248810824427135,chaotic_seed_blake3_xor,512x512,9,scalar_avx2
4.326421505763398,445.343,419.3833333333333,2.3584851132909534,419.494,406.002,9.365026484683508,chaotic_seed_blake3_xor,512x768,18,scalar_avx2
6.646617864733516,448.455,411.61461111111106,2.296826465267137,414.8175,319.158,24.91962594469007,chaotic_seed_blake3_xor,768x512,54,scalar_avx2
0.685903832271653,98.7051,96.87231111111112,0.46674654109464375,97.1592,95.3399,1.049852804497428,coupled_lattice_xor,1024x1024,9,scalar_avx2
1.0507535233223775,98.6814,96.52840555555555,0.4891619450529016,97.2012,80.8635,3.216592418333809,coupled_lattice_xor,1280x720,36,scalar_avx2
0.20882087649932346,98.917,98.23034444444444,0.43370624571204724,98.3941,96.3288,0.6392475811203779,coupled_lattice_xor,1920x1080,36,scalar_avx2
0.766031815620388,98.3583,96.82533333333333,0.5357991352723303,96.6693,94.9705,1.1724976769699818,coupled_lattice_xor,512x512,9,scalar_avx2
1.1018932104345533,98.4921,96.31057777777778,0.5416215807527069,96.76599999999999,87.1685,2.3851719221684324,coupled_lattice_xor,512x768,18,scalar_avx2
1.2143001586041064,98.9596,95.19698703703705,0.5312031044042232,96.62774999999999,79.3885,4.55267721912359,coupled_lattice_xor,768x512,54,scalar_avx2
0.013689438183423594,14.8188,14.789666666666667,0.07125901799423105,14.7903,14.7453,0.020953221709321828,hamiltonian_lattice_xor,1024x1024,9,scalar_avx2
0.14188140936750185,14.8395,14.709577777777778,0.0745414330141766,14.790700000000001,12.2354,0.43433084500255664,hamiltonian_lattice_xor,1280x720,36,scalar_avx2
0.008576364434656964,14.8418,14.81356388888889,0.06540479132188277,14.8254,14.7231,0.02625417684078663,hamiltonian_lattice_xor,1920x1080,36,scalar_avx2
0.11368555747377711,14.7776,14.691855555555556,0.08129983374405439,14.7409,14.2351,0.17400850633741394,hamiltonian_lattice_xor,512x512,9,scalar_avx2
0.180136223748639,14.8182,14.679472222222223,0.08255291509059934,14.774550000000001,13.1202,0.38992513882653007,hamiltonian_lattice_xor,512x768,18,scalar_avx2
0.16521247272829837,14.8434,14.557553703703704,0.08123174861542647,14.7619,12.0454,0.6194177408078761,hamiltonian_lattice_xor,768x512,54,scalar_avx2
0.11531333847445163,15.683,15.520555555555555,0.07478055946362074,15.624,15.1585,0.17650000786905862,logistic_permute_xor,1024x1024,9,scalar_avx2
0.27800252227251293,16.4051,15.607580555555554,0.07909210162734322,15.814250000000001,12.2556,0.8510281294056518,logistic_permute_xor,1280x720,36,scalar_avx2
0.09336432661401724,14.5327,14.068066666666667,0.062113274802548746,14.0915,13.291,0.2858091631041344,logistic_permute_xor,1920x1080,36,scalar_avx2
0.17691258772374294,19.9085,19.50946666666667,0.10795888854457186,19.561,19.1273,0.2707845730465453,logistic_permute_xor,512x512,9,scalar_avx2
0.49865503860018096,19.0423,17.961177777777777,0.10100823528051786,18.444249999999997,15.623,1.0793949773480436,logistic_permute_xor,512x768,18,scalar_avx2
0.3106669819599335,19.2343,18.159924074074073,0.10133312349623058,18.620649999999998,13.7382,1.1647585495901998,logistic_permute_xor,768x512,54,scalar_avx2
0.8789981484495707,210.397,207.548,1.0,207.552,205.818,1.3454053292595471,logistic_xor,1024x1024,9,scalar_avx2
2.711337589976578,203.303,197.33425,1.0,201.03699999999998,159.695,8.300013030540546,logistic_xor,1280x720,36,scalar_avx2
0.8418667124538058,229.187,226.4905,1.0,227.501,216.9,2.5771429973075692,logistic_xor,1920x1080,36,scalar_avx2
2.3031019594451334,185.918,180.712,1.0,180.65,174.254,3.525156060375204,logistic_xor,512x512,9,scalar_avx2
3.938226072986863,184.41,177.81894444444444,1.0,181.46550000000002,155.274,8.524733761391872,logistic_xor,512x768,18,scalar_avx2
2.531181832013889,187.114,179.21014814814814,1.0,182.7875,147.339,9.489955001995645,logistic_xor,768x512,54,scalar_avx2
0.07675960091990337,33.9851,33.81478888888889,0.16292514930950378,33.797,33.5868,0.11748918508148476,sine_xor,1024x1024,9,scalar_avx2
0.31079470713900476,33.9945,33.62127777777778,0.17037730539821536,33.7962,28.2375,0.9514123687928716,sine_xor,1280x720,36,scalar_avx2
0.0805212929686657,34.0276,33.88486944444444,0.14960834756620892,33.9493,32.4978,0.24649375398571133,sine_xor,1920x1080,36,scalar_avx2
0.18726243240139986,33.9903,33.739133333333335,0.18670112296545519,33.785,33.0436,0.286626172042959,sine_xor,512x512,9,scalar_avx2
0.4725298262526581,33.8713,33.48252777777778,0.18829561654629354,33.7136,29.3956,1.0228440136412926,sine_xor,512x768,18,scalar_avx2
0.41382309179706933,33.9723,33.13743518518518,0.1849082517235094,33.72595,27.5,1.5515133959445044,sine_xor,768x512,54,scalar_avx2
1.2897283803638842,157.786,154.3928888888889,0.743890034540872,153.918,151.689,1.9740740515773738,tent_block_xor,1024x1024,9,scalar_avx2
1.5426399928111847,157.644,153.4648611111111,0.7776899403479686,153.7045,128.485,4.722367324932198,tent_block_xor,1280x720,36,scalar_avx2
0.6150575340242569,157.575,153.59716666666665,0.6781616300315759,153.9755,146.589,1.8828291857885415,tent_block_xor,1920x1080,36,scalar_avx2
1.5125893478762327,157.589,153.96377777777778,0.8519842499545011,152.736,151.542,2.3151877773615808,tent_block_xor,512x512,9,scalar_avx2
2.4553857521063884,156.023,152.02383333333333,0.8549360913613442,153.496,131.931,5.314958925744668,tent_block_xor,512x768,18,scalar_avx2
2.011306916603685,158.131,151.39244444444444,0.8447760688155475,153.36149999999998,122.806,7.5408300946065125,tent_block_xor,768x512,54,scalar_avx2
1.1044499516451132,140.674,138.12666666666667,0.6655167318724664,137.942,135.178,1.6904846198649692,tiled_arnold_xor,1024x1024,9,scalar_avx2
