MBps,bytes,channels,cipher,correct,dataset,diffusion_ms,diffusion_share_pct,height,image,image_kind,image_size,keygen_ms,keygen_share_pct,mode,permutation_ms,permutation_share_pct,repeat,run_id,total_ms,variant,width
95.3399,3145728,3,coupled_lattice_xor,1,synthetic_control,1.12758,3.583441385096484,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,29.578,93.99867795489791,full,4.9e-05,0.0001557216586581242,2,full__gradient_1024x1024__rep2,31.4664,scalar_avx2,1024
14.7959,3145728,3,hamiltonian_lattice_xor,1,synthetic_control,0.774325,0.3818942685651439,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,201.371,99.31544345750375,full,5e-05,2.4659817813265996e-05,2,full__gradient_1024x1024__rep2,202.759,scalar_avx2,1024
415.501,3145728,3,chaotic_seed_blake3_xor,1,synthetic_control,0.789808,10.938865959391707,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,5.75573,79.71704384920085,full,4.9e-05,0.00067865156089859,2,full__gradient_1024x1024__rep2,7.2202,scalar_avx2,1024
799.116,3145728,3,aes_ctr,1,synthetic_control,2.96777,79.05304796025732,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,0,0.0,full,0,0.0,2,full__gradient_1024x1024__rep2,3.75415,openssl_evp,1024
856.43,3145728,3,chacha20,1,synthetic_control,3.03283,86.5803003788279,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,0,0.0,full,0,0.0,2,full__gradient_1024x1024__rep2,3.50291,openssl_evp,1024
1443.82,3145728,3,aes_256_gcm,1,synthetic_control,1.613,77.62943854616859,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,0,0.0,full,0,0.0,2,full__gradient_1024x1024__rep2,2.07782,openssl_evp_aead,1024
625.104,3145728,3,chacha20_poly1305,1,synthetic_control,4.39033,91.48045507584597,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,0,0.0,full,0,0.0,2,full__gradient_1024x1024__rep2,4.7992,openssl_evp_aead,1024
207.522,3145728,3,logistic_xor,1,synthetic_control,1.99724,13.81570664692902,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,11.278,78.01442969501186,full,4.9e-05,0.000338952567392763,3,full__gradient_1024x1024__rep3,14.4563,scalar_avx2,1024
15.683,3145728,3,logistic_permute_xor,1,synthetic_control,0.769346,0.4021883004861729,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,10.2472,5.356892676041612,full,179.648,93.9139526373569,3,full__gradient_1024x1024__rep3,191.29,scalar_avx2,1024
157.286,3145728,3,arnold_xor,1,synthetic_control,0.774983,4.063139958581278,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,10.2155,53.55860224919391,full,7.43999,39.006946811020526,3,full__gradient_1024x1024__rep3,19.0735,scalar_avx2,1024
137.468,3145728,3,tiled_arnold_xor,1,synthetic_control,0.794912,3.6424921987050536,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,10.2899,47.15098083241306,full,10.124,46.39078416188203,3,full__gradient_1024x1024__rep3,21.8233,scalar_avx2,1024
154.219,3145728,3,tent_block_xor,1,synthetic_control,0.777944,3.999115813066432,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,18.0481,92.77845462630252,full,7.4e-05,0.0003804060063024022,3,full__gradient_1024x1024__rep3,19.4529,scalar_avx2,1024
33.5868,3145728,3,sine_xor,1,synthetic_control,0.802543,0.8984960932908049,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,87.8759,98.3824578177287,full,8.2e-05,9.180402750986054e-05,3,full__gradient_1024x1024__rep3,89.3207,scalar_avx2,1024
97.3999,3145728,3,coupled_lattice_xor,1,synthetic_control,0.775006,2.516187891223604,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,29.4033,95.4627801875276,full,4.9e-05,0.00015908677696683203,3,full__gradient_1024x1024__rep3,30.8008,scalar_avx2,1024
14.8011,3145728,3,hamiltonian_lattice_xor,1,synthetic_control,0.821397,0.40525191427218193,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,201.217,99.27425402589202,full,0.000148,7.301862961793495e-05,3,full__gradient_1024x1024__rep3,202.688,scalar_avx2,1024
413.14,3145728,3,chaotic_seed_blake3_xor,1,synthetic_control,0.807023,11.113799585482239,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,5.76348,79.37092453986463,full,4.9e-05,0.0006747963560996771,3,full__gradient_1024x1024__rep3,7.26145,scalar_avx2,1024
