MBps_ci95,MBps_max,MBps_mean,MBps_mean_speedup_vs_baseline,MBps_median,MBps_min,MBps_stddev,category,image_size,n,stage
67.47653772860606,2307.2,2201.81,4.090052068143695,2242.97,2030.25,103.28041489072356,diffusion,1024x1024,9,arx_block_diffusion
51.562918926072406,2325.24,2156.226388888889,4.02698078135125,2218.84,1672.19,157.8456701818543,diffusion,1280x720,36,arx_block_diffusion
44.00897639155218,2303.12,2150.0027777777777,3.9944562798551675,2223.0550000000003,1769.54,134.72135630066995,diffusion,1920x1080,36,arx_block_diffusion
86.32693788860297,2340.71,2199.331111111111,4.131982251287567,2246.18,1994.43,132.1330681968413,diffusion,2048x2048,9,arx_block_diffusion
129.00137550868345,2104.1,1948.5355555555554,3.552401344242304,2042.81,1580.61,197.45108496227058,diffusion,4096x4096,9,arx_block_diffusion
66.52710395061033,2342.48,2237.3022222222226,3.9411743751206196,2284.43,2073.46,101.82719992440356,diffusion,512x512,9,arx_block_diffusion
73.46201236923416,2312.42,2156.55,3.835583492779188,2195.0299999999997,1805.18,159.01679726294543,diffusion,512x768,18,arx_block_diffusion
47.171532128954084,2373.13,2155.9422222222224,3.893356807000686,2219.225,1703.83,176.85640423659208,diffusion,768x512,54,arx_block_diffusion
11.856740492624525,398.074,386.0372222222222,0.7170974512471318,395.721,353.283,18.148072182588557,diffusion,1024x1024,9,arx_prefix_mod256
7.572054429010811,405.351,386.23516666666666,0.7213350143860113,393.4305,285.291,23.179758456155543,diffusion,1280x720,36,arx_prefix_mod256
6.073787082321361,403.164,385.84761111111106,0.7168601962751484,397.34799999999996,355.894,18.59322576220825,diffusion,1920x1080,36,arx_prefix_mod256
12.674863407904132,395.585,376.4731111111111,0.707296961944142,386.649,350.206,19.40030113454714,diffusion,2048x2048,9,arx_prefix_mod256
12.026415859973701,396.525,383.2801111111111,0.6987631188204052,395.344,358.603,18.407779377510767,diffusion,4096x4096,9,arx_prefix_mod256
11.556205050678978,405.696,385.6948888888889,0.6794302520264957,390.729,362.877,17.688068955120887,diffusion,512x512,9,arx_prefix_mod256
8.96528143249272,406.508,389.55383333333333,0.6928502713510877,399.102,352.8,19.406361110698306,diffusion,512x768,18,arx_prefix_mod256
6.632479049123665,409.417,387.60935185185184,0.6999730757784574,400.3025,320.003,24.86661642865216,diffusion,768x512,54,arx_prefix_mod256
16.77740400980916,533.855,514.4161111111111,0.9555723151118566,525.485,466.333,25.67970001501402,diffusion,1024x1024,9,bitplane_diffusion
10.128207126172045,558.201,520.4169166666666,0.9719336209342415,532.045,389.63,31.0047156923634,diffusion,1280x720,36,bitplane_diffusion
8.593379865149842,539.531,514.9033611111112,0.9566308404655446,528.8655,464.827,26.306264893315845,diffusion,1920x1080,36,bitplane_diffusion
18.61872273537342,529.429,501.92233333333326,0.9429840565527284,518.091,459.599,28.49804500312258,diffusion,2048x2048,9,bitplane_diffusion
21.757528280355956,545.768,519.058,0.9463016118348423,540.832,470.816,33.30233920462646,diffusion,4096x4096,9,bitplane_diffusion
13.89156891286063,564.057,535.431,0.9432015558225321,539.658,485.215,21.262605478868313,diffusion,512x512,9,bitplane_diffusion
13.88541403380883,550.519,524.0556111111111,0.932071619612848,537.6635,467.257,30.056542110884926,diffusion,512x768,18,bitplane_diffusion
9.561428322723007,552.36,522.5039814814814,0.9435755800955795,540.4970000000001,412.563,35.847888677857,diffusion,768x512,54,bitplane_diffusion
