image,cipher,variant,width,height,channels,bytes,keygen_ms,permutation_ms,diffusion_ms,total_ms,MBps,correct
images/datasets/real/kodak/kodim01.png,logistic_xor,scalar_avx2,768,512,3,1179648,4.65651,0.000618,1.69781,8.06968,139.411,1
images/datasets/real/kodak/kodim01.png,logistic_permute_xor,scalar_avx2,768,512,3,1179648,3.61744,68.1516,1.34509,74.336,15.134,1
images/datasets/real/kodak/kodim01.png,arnold_xor,scalar_avx2,768,512,3,1179648,4.15126,4.59633,0.50276,9.7143,115.809,1
images/datasets/real/kodak/kodim01.png,tiled_arnold_xor,scalar_avx2,768,512,3,1179648,4.04896,6.01476,1.7489,13.3386,84.3417,1
images/datasets/real/kodak/kodim01.png,tent_block_xor,scalar_avx2,768,512,3,1179648,10.7557,0.000585,1.76846,13.7803,81.6384,1
images/datasets/real/kodak/kodim01.png,sine_xor,scalar_avx2,768,512,3,1179648,45.1119,0.0006,0.672601,46.2129,24.3438,1
images/datasets/real/kodak/kodim01.png,coupled_lattice_xor,scalar_avx2,768,512,3,1179648,14.7446,0.000592,0.562854,15.723,71.5512,1
images/datasets/real/kodak/kodim01.png,hamiltonian_lattice_xor,scalar_avx2,768,512,3,1179648,93.9164,0.000698,0.951131,95.3585,11.7976,1
images/datasets/real/kodak/kodim01.png,chaotic_seed_blake3_xor,scalar_avx2,768,512,3,1179648,2.65381,0.000654,0.58284,3.64823,308.369,1
images/datasets/real/kodak/kodim01.png,aes_ctr,openssl_evp,768,512,3,1179648,0,0,2.84406,3.36241,334.582,1
images/datasets/real/kodak/kodim01.png,chacha20,openssl_evp,768,512,3,1179648,0,0,0.673679,1.33864,840.405,1
