MBps,bytes,channels,checksum,dataset,diffusion,diffusion_ms,diffusion_share_pct,height,image,image_kind,image_size,keygen_ms,keygen_share_pct,keystream,mode,permutation,permutation_ms,permutation_share_pct,repeat,run_id,scheme,total_ms,width
33.7572,3145728,3,5718552803126816917,synthetic_control,stencil,13.1239,14.767525599189828,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,48.7008,54.80004500956453,cml,candidates,feistel_index,27.039,30.425340384831777,3,candidates__gradient_1024x1024__rep3,CML-Feistel-Stencil,88.87,1024
9.74001,3145728,3,493656605528614914,synthetic_control,stencil,13.3667,4.339724942209294,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,267.123,86.7259941300226,hamiltonian,candidates,block_feistel,27.5119,8.93220305966079,3,candidates__gradient_1024x1024__rep3,Hamiltonian-Block-Stencil,308.008,1024
30.1335,3145728,3,13834641965195320649,synthetic_control,bitplane,7.07524,7.1067156435854395,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,47.9506,48.16391799279007,cml,candidates,affine_bitplane,44.5258,44.72388207370443,3,candidates__gradient_1024x1024__rep3,Affine-CML-Bitplane,99.5571,1024
69.8506,12582912,3,17970918682022726495,synthetic_control,arx_block,14.295,8.32096393957915,2048,images/datasets/synthetic/gradient_2048x2048.ppm,gradient,2048x2048,28.5423,16.614162228237145,cellular_automata,candidates,feistel_index,128.951,75.06097383509415,1,candidates__gradient_2048x2048__rep1,CA-Feistel-ARX,171.795,2048
201.275,12582912,3,15296360051045944194,synthetic_control,arx_block,15.9242,26.709583057977387,2048,images/datasets/synthetic/gradient_2048x2048.ppm,gradient,2048x2048,29.9895,50.301242204770894,cellular_automata,candidates,checkerboard_swaps,13.6979,22.975420917212066,1,candidates__gradient_2048x2048__rep1,Checkerboard-CA-ARX,59.6198,2048
42.518,12582912,3,15122475835053983483,synthetic_control,prefix_tree_reverse,68.6382,24.31960713450541,2048,images/datasets/synthetic/gradient_2048x2048.ppm,gradient,2048x2048,27.6436,9.794567628280081,cellular_automata,candidates,affine_bitplane,185.929,65.87760510781834,1,candidates__gradient_2048x2048__rep1,Affine-CA-PrefixTree,282.234,2048
171.374,12582912,3,15952745533059969249,synthetic_control,multilane_tree,27.4509,39.2030264601042,2048,images/datasets/synthetic/gradient_2048x2048.ppm,gradient,2048x2048,28.9371,41.32549012887304,cellular_automata,candidates,checkerboard_swaps,13.6265,19.46020130701033,1,candidates__gradient_2048x2048__rep1,Checkerboard-CA-MultilaneTree,70.0224,2048
30.4665,12582912,3,1476863585197703979,synthetic_control,stencil,57.592,14.621860687119804,2048,images/datasets/synthetic/gradient_2048x2048.ppm,gradient,2048x2048,192.098,48.771186870994946,cml,candidates,feistel_index,144.177,36.60466745879414,1,candidates__gradient_2048x2048__rep1,CML-Feistel-Stencil,393.876,2048
9.58148,12582912,3,16529427070144471624,synthetic_control,stencil,51.9649,4.149159227735105,2048,images/datasets/synthetic/gradient_2048x2048.ppm,gradient,2048x2048,1070.36,85.4633429680139,hamiltonian,candidates,block_feistel,130.087,10.386851056354896,1,candidates__gradient_2048x2048__rep1,Hamiltonian-Block-Stencil,1252.42,2048
28.8781,12582912,3,18286951560419403537,synthetic_control,bitplane,27.206,6.547159231744794,2048,images/datasets/synthetic/gradient_2048x2048.ppm,gradient,2048x2048,195.509,47.04949475259843,cml,candidates,affine_bitplane,192.817,46.40166145656605,1,candidates__gradient_2048x2048__rep1,Affine-CML-Bitplane,415.539,2048
67.4926,12582912,3,17970918682022726495,synthetic_control,arx_block,13.8133,7.769141211606494,2048,images/datasets/synthetic/gradient_2048x2048.ppm,gradient,2048x2048,28.7516,16.17102650775885,cellular_automata,candidates,feistel_index,135.215,76.05021457054956,2,candidates__gradient_2048x2048__rep2,CA-Feistel-ARX,177.797,2048
203.496,12582912,3,15296360051045944194,synthetic_control,arx_block,15.5303,26.336290809439504,2048,images/datasets/synthetic/gradient_2048x2048.ppm,gradient,2048x2048,28.994,49.16804026508754,cellular_automata,candidates,checkerboard_swaps,14.437,24.48227210136817,2,candidates__gradient_2048x2048__rep2,Checkerboard-CA-ARX,58.9692,2048
42.7402,12582912,3,15122475835053983483,synthetic_control,prefix_tree_reverse,66.4704,23.674661461857916,2048,images/datasets/synthetic/gradient_2048x2048.ppm,gradient,2048x2048,28.6219,10.19421867320117,cellular_automata,candidates,affine_bitplane,185.667,66.12873353611192,2,candidates__gradient_2048x2048__rep2,Affine-CA-PrefixTree,280.766,2048
171.78,12582912,3,15952745533059969249,synthetic_control,multilane_tree,27.7501,39.72415076513449,2048,images/datasets/synthetic/gradient_2048x2048.ppm,gradient,2048x2048,28.2961,40.50574745551627,cellular_automata,candidates,checkerboard_swaps,13.8033,19.759365561074766,2,candidates__gradient_2048x2048__rep2,Checkerboard-CA-MultilaneTree,69.857,2048
30.4996,12582912,3,1476863585197703979,synthetic_control,stencil,53.388,13.569299041548163,2048,images/datasets/synthetic/gradient_2048x2048.ppm,gradient,2048x2048,194.604,49.461299743040364,cml,candidates,feistel_index,145.448,36.96762206853782,2,candidates__gradient_2048x2048__rep2,CML-Feistel-Stencil,393.447,2048
8.9354,12582912,3,16529427070144471624,synthetic_control,stencil,54.0955,4.028049770285263,2048,images/datasets/synthetic/gradient_2048x2048.ppm,gradient,2048x2048,1152.62,85.82619120307973,hamiltonian,candidates,block_feistel,136.249,10.145349486585701,2,candidates__gradient_2048x2048__rep2,Hamiltonian-Block-Stencil,1342.97,2048
27.7185,12582912,3,18286951560419403537,synthetic_control,bitplane,30.3488,7.010191165192968,2048,images/datasets/synthetic/gradient_2048x2048.ppm,gradient,2048x2048,194.076,44.82911550295202,cml,candidates,affine_bitplane,208.49,48.15856824754461,2,candidates__gradient_2048x2048__rep2,Affine-CML-Bitplane,432.924,2048
65.2999,12582912,3,17970918682022726495,synthetic_control,arx_block,15.7752,8.584301945931827,2048,images/datasets/synthetic/gradient_2048x2048.ppm,gradient,2048x2048,29.4353,16.017641809237734,cellular_automata,candidates,feistel_index,138.551,75.39451917635279,3,candidates__gradient_2048x2048__rep3,CA-Feistel-ARX,183.768,2048
203.775,12582912,3,15296360051045944194,synthetic_control,arx_block,16.1747,27.466653081671296,2048,images/datasets/synthetic/gradient_2048x2048.ppm,gradient,2048x2048,28.6318,48.620358813690274,cellular_automata,candidates,checkerboard_swaps,14.0761,23.902969170551128,3,candidates__gradient_2048x2048__rep3,Checkerboard-CA-ARX,58.8885,2048
38.8607,12582912,3,15122475835053983483,synthetic_control,prefix_tree_reverse,75.2885,24.381385708965496,2048,images/datasets/synthetic/gradient_2048x2048.ppm,gradient,2048x2048,30.622,9.916611344095596,cellular_automata,candidates,affine_bitplane,202.877,65.69957415113586,3,candidates__gradient_2048x2048__rep3,Affine-CA-PrefixTree,308.795,2048
158.281,12582912,3,15952745533059969249,synthetic_control,multilane_tree,31.4962,41.54382280938714,2048,images/datasets/synthetic/gradient_2048x2048.ppm,gradient,2048x2048,29.4578,38.85515152794191,cellular_automata,candidates,checkerboard_swaps,14.8534,19.59179258821543,3,candidates__gradient_2048x2048__rep3,Checkerboard-CA-MultilaneTree,75.8144,2048
28.375,12582912,3,1476863585197703979,synthetic_control,stencil,55.1567,13.042245594786573,2048,images/datasets/synthetic/gradient_2048x2048.ppm,gradient,2048x2048,192.062,45.414605540684974,cml,candidates,feistel_index,175.679,41.54071334663804,3,candidates__gradient_2048x2048__rep3,CML-Feistel-Stencil,422.908,2048
9.18641,12582912,3,16529427070144471624,synthetic_control,stencil,53.4656,4.092966285941759,2048,images/datasets/synthetic/gradient_2048x2048.ppm,gradient,2048x2048,1102.3,84.38466484980249,hamiltonian,candidates,block_feistel,150.508,11.52187892335487,3,candidates__gradient_2048x2048__rep3,Hamiltonian-Block-Stencil,1306.28,2048
28.9555,12582912,3,18286951560419403537,synthetic_control,bitplane,28.7953,6.948186540999786,2048,images/datasets/synthetic/gradient_2048x2048.ppm,gradient,2048x2048,194.482,46.927700522888124,cml,candidates,affine_bitplane,191.143,46.12201366217133,3,candidates__gradient_2048x2048__rep3,Affine-CML-Bitplane,414.429,2048
78.1449,786432,3,1030153695164066229,synthetic_control,arx_block,0.869288,9.057394855978869,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,1.82002,18.9633812795974,cellular_automata,candidates,feistel_index,6.90368,71.93169090028184,1,candidates__gradient_512x512__rep1,CA-Feistel-ARX,9.59755,512
218.506,786432,3,14141379237052620034,synthetic_control,arx_block,1.14163,33.260303984663835,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,1.64003,47.78071384246055,cellular_automata,candidates,checkerboard_swaps,0.647061,18.85150666732704,1,candidates__gradient_512x512__rep1,Checkerboard-CA-ARX,3.43241,512
43.6851,786432,3,11511167765748651023,synthetic_control,prefix_tree_reverse,3.89759,22.702247747301715,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,1.77913,10.362878095093865,cellular_automata,candidates,affine_bitplane,11.4879,66.91343930383323,1,candidates__gradient_512x512__rep1,Affine-CA-PrefixTree,17.1683,512
237.366,786432,3,4305604454997157537,synthetic_control,multilane_tree,1.05467,33.37911870543443,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,1.50316,47.57332253051742,cellular_automata,candidates,checkerboard_swaps,0.598888,18.95413128586213,1,candidates__gradient_512x512__rep1,Checkerboard-CA-MultilaneTree,3.15967,512
35.4154,786432,3,9616188472344676131,synthetic_control,stencil,3.00858,14.206693991651399,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,11.8676,56.03951419451108,cml,candidates,feistel_index,6.29698,29.73471469316057,1,candidates__gradient_512x512__rep1,CML-Feistel-Stencil,21.1772,512
9.66738,786432,3,16874792644486012194,synthetic_control,stencil,3.39473,4.375757278900341,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,67.5715,87.09867440745343,hamiltonian,candidates,block_feistel,6.60947,8.519510082443505,1,candidates__gradient_512x512__rep1,Hamiltonian-Block-Stencil,77.5804,512
29.9574,786432,3,4577604707368596687,synthetic_control,bitplane,1.56839,6.2646641768688465,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,12.2111,48.77513930219089,cml,candidates,affine_bitplane,11.2522,44.94497813105391,1,candidates__gradient_512x512__rep1,Affine-CML-Bitplane,25.0355,512
72.9048,786432,3,1030153695164066229,synthetic_control,arx_block,1.42551,13.85685401559189,512,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,1.81485,17.641483756828745,cellular_automata,candidates,feistel_index,7.03703,68.40435873009702,2,candidates__gradient_512x512__rep2,CA-Feistel-ARX,10.2874,512
