MBps_ci95,MBps_max,MBps_mean,MBps_mean_speedup_vs_baseline,MBps_median,MBps_min,MBps_stddev,category,image_size,n,stage
9.347594914059613,412.619,395.1252222222222,1.7632679188925722,396.902,367.979,14.30754323580553,diffusion,1024x1024,9,arx_block_diffusion
6.495554195026675,427.975,392.36452777777777,1.7704928532876483,396.709,330.475,19.884349576612273,diffusion,1280x720,36,arx_block_diffusion
3.667648203115254,410.683,390.1096944444445,1.7606066467780745,390.682,356.79,11.22749449933241,diffusion,1920x1080,36,arx_block_diffusion
7.78673926445165,389.587,378.67022222222226,1.6794258467518595,385.595,360.862,11.918478465997422,diffusion,2048x2048,9,arx_block_diffusion
4.559713405789156,321.909,312.43566666666663,1.4115835430437145,313.298,300.924,6.97915317212626,diffusion,4096x4096,9,arx_block_diffusion
11.36199029076843,427.639,403.2618888888889,1.7689873263477638,405.183,377.339,17.390801465461884,diffusion,512x512,9,arx_block_diffusion
8.743379818200191,432.851,399.97594444444445,1.8006912569180717,405.4805,350.65,18.92603008144579,diffusion,512x768,18,arx_block_diffusion
3.5516449572523183,438.324,402.39175925925923,1.8250573743752314,403.496,366.925,13.315894733873193,diffusion,768x512,54,arx_block_diffusion
4.966593764023243,222.139,212.91855555555557,0.9501607015532666,212.553,199.286,7.601929230647821,diffusion,1024x1024,9,arx_prefix_mod256
2.714033127612671,231.277,214.76680555555555,0.9691067041995349,214.6575,184.81,8.308264676365319,diffusion,1280x720,36,arx_prefix_mod256
2.9822108381374046,223.602,211.46627777777778,0.9543698593678367,212.6255,170.542,9.129216851441035,diffusion,1920x1080,36,arx_prefix_mod256
5.500476007570325,218.737,208.35944444444445,0.9240870178841405,209.4,196.318,8.41909592995458,diffusion,2048x2048,9,arx_prefix_mod256
2.303674373971684,196.98,191.79188888888888,0.8665152635523609,192.803,185.843,3.5260322050586996,diffusion,4096x4096,9,arx_prefix_mod256
4.4472023971553405,232.936,223.49977777777778,0.980425587500451,223.066,214.977,6.806942444625522,diffusion,512x512,9,arx_prefix_mod256
8.945108035991057,234.605,220.1442777777778,0.9910892936463791,227.1645,149.094,19.362693522537416,diffusion,512x768,18,arx_prefix_mod256
2.96466062141758,237.962,220.95174074074075,1.0021318641372106,222.16199999999998,158.043,11.115161912748313,diffusion,768x512,54,arx_prefix_mod256
4.289041017285279,275.202,268.098,1.196401990894405,269.33,257.197,6.5648586999264475,diffusion,1024x1024,9,bitplane_diffusion
2.4649534390793044,278.016,265.57308333333333,1.1983632891848335,266.872,249.344,7.545775833916237,diffusion,1280x720,36,bitplane_diffusion
4.755624767974326,280.777,258.88727777777774,1.1683858886689305,262.5245,213.839,14.55803500400304,diffusion,1920x1080,36,bitplane_diffusion
4.712364494313252,267.412,254.98322222222225,1.1308663548325422,254.135,244.14,7.212802797418243,diffusion,2048x2048,9,bitplane_diffusion
3.978695804723383,230.827,223.61444444444444,1.0102894881761497,225.428,211.274,6.08984051743375,diffusion,4096x4096,9,bitplane_diffusion
6.641774379255761,289.656,269.4568888888889,1.1820254642830337,267.074,254.484,10.16598119273841,diffusion,512x512,9,bitplane_diffusion
4.619274813792024,282.376,264.5436666666667,1.1909752930301054,264.95950000000005,249.868,9.99894044386704,diffusion,512x768,18,bitplane_diffusion
2.5336473811670333,284.773,267.81503703703703,1.2146814567295916,270.31399999999996,241.724,9.499198885711392,diffusion,768x512,54,bitplane_diffusion
4.897477114836337,291.191,281.4294444444444,1.2558942910041837,282.28,269.529,7.496138441076027,diffusion,1024x1024,9,block_local_chain
2.8089279317763456,296.105,280.39425,1.2652418365635618,279.42449999999997,263.227,8.598758974825548,diffusion,1280x720,36,block_local_chain
3.3222061317052556,294.114,277.09525,1.2505604087470528,278.10699999999997,239.412,10.170018770526292,diffusion,1920x1080,36,block_local_chain
4.759238256721552,280.021,271.97622222222225,1.20623136042072,272.752,255.982,7.284548352124825,diffusion,2048x2048,9,block_local_chain
1.8088580500660845,238.752,235.31466666666665,1.0631510622564988,235.824,230.622,2.7686602807133944,diffusion,4096x4096,9,block_local_chain
4.078239218388864,296.999,289.0608888888889,1.2680222532215408,288.176,281.191,6.242202885289078,diffusion,512x512,9,block_local_chain
5.226446675789671,302.917,285.1031111111111,1.2835338890467367,286.15999999999997,254.336,11.313232303961527,diffusion,512x768,18,block_local_chain
3.2644246933667587,307.469,283.1822777777778,1.2843799418310684,286.155,245.335,12.23904306503571,diffusion,768x512,54,block_local_chain
2.7994045780495806,231.722,224.0868888888889,1.0,224.466,217.623,4.284802925586093,diffusion,1024x1024,9,global_chain
1.9267198593141543,233.152,221.61316666666664,1.0,221.5135,205.177,5.898122018308636,diffusion,1280x720,36,global_chain
2.0879891805058235,235.873,221.5768611111111,1.0,222.119,204.453,6.391803613793337,diffusion,1920x1080,36,global_chain
3.6037828616731176,234.895,225.476,1.0,226.878,215.567,5.515994176030282,diffusion,2048x2048,9,global_chain
3.346739473982268,228.959,221.337,1.0,222.227,213.99,5.122560419360615,diffusion,4096x4096,9,global_chain
6.39215582251316,240.85,227.962,1.0,232.341,210.891,9.783911973234428,diffusion,512x512,9,global_chain
4.610479168762192,235.947,222.12355555555555,1.0,222.64100000000002,203.84,9.979901279850193,diffusion,512x768,18,global_chain
