MBps,bytes,channels,cipher,correct,dataset,diffusion_ms,diffusion_share_pct,height,image,image_kind,image_size,keygen_ms,keygen_share_pct,mode,permutation_ms,permutation_share_pct,repeat,run_id,total_ms,variant,width
67.6616,3145728,3,coupled_lattice_xor,1,synthetic_control,2.24558,5.064650651919447,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,40.7249,91.85038668600285,full,0.00155,0.0034958489612817814,2,full__gradient_1024x1024__rep2,44.3383,scalar_avx2,1024
11.0186,3145728,3,hamiltonian_lattice_xor,1,synthetic_control,2.33851,0.8589063636296856,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,268.555,98.63699470370887,full,0.001058,0.00038859056951657563,2,full__gradient_1024x1024__rep2,272.266,scalar_avx2,1024
253.347,3145728,3,chaotic_seed_blake3_xor,1,synthetic_control,2.44676,20.662759471008496,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,7.77527,65.66174607732194,full,0.00089,0.007516003175300217,2,full__gradient_1024x1024__rep2,11.8414,scalar_avx2,1024
530.93,3145728,3,aes_ctr,1,synthetic_control,3.90163,69.04977647837522,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,0,0.0,full,0,0.0,2,full__gradient_1024x1024__rep2,5.65046,openssl_evp,1024
672.226,3145728,3,chacha20,1,synthetic_control,1.98689,44.52125240040423,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,0,0.0,full,0,0.0,2,full__gradient_1024x1024__rep2,4.46279,openssl_evp,1024
886.442,3145728,3,aes_256_gcm,1,synthetic_control,1.54564,45.6706221633888,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,0,0.0,full,0,0.0,2,full__gradient_1024x1024__rep2,3.38432,openssl_evp_aead,1024
572.818,3145728,3,chacha20_poly1305,1,synthetic_control,2.90993,55.56196262556637,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,0,0.0,full,0,0.0,2,full__gradient_1024x1024__rep2,5.23727,openssl_evp_aead,1024
138.198,3145728,3,logistic_xor,1,synthetic_control,4.9344,22.730790491984525,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,12.2331,56.35295743504699,full,0.000885,0.004076838032061913,3,full__gradient_1024x1024__rep3,21.708,scalar_avx2,1024
11.8715,3145728,3,logistic_permute_xor,1,synthetic_control,4.79325,1.8967693683569047,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,10.983,4.3461571945264454,full,232.419,91.97209405395995,3,full__gradient_1024x1024__rep3,252.706,scalar_avx2,1024
89.0668,3145728,3,arnold_xor,1,synthetic_control,2.84742,8.453682316685766,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,10.9821,32.60466828570241,full,17.8423,52.97186084209652,3,full__gradient_1024x1024__rep3,33.6826,scalar_avx2,1024
76.7338,3145728,3,tiled_arnold_xor,1,synthetic_control,5.77851,14.780234396181726,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,10.994,28.12037998577867,full,17.1415,43.84441454668229,3,full__gradient_1024x1024__rep3,39.0962,scalar_avx2,1024
72.5521,3145728,3,tent_block_xor,1,synthetic_control,5.92088,14.319074428773193,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,30.3371,73.36733608063923,full,0.001018,0.0024619343355195694,3,full__gradient_1024x1024__rep3,41.3496,scalar_avx2,1024
23.2429,3145728,3,sine_xor,1,synthetic_control,3.10416,2.4049832651543324,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,124.293,96.29741539605801,full,0.001136,0.0008801289202925499,3,full__gradient_1024x1024__rep3,129.072,scalar_avx2,1024
67.8157,3145728,3,coupled_lattice_xor,1,synthetic_control,2.93417,6.632766318168974,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,39.7701,89.90132805877367,full,0.000919,0.002077423000847697,3,full__gradient_1024x1024__rep3,44.2375,scalar_avx2,1024
11.2689,3145728,3,hamiltonian_lattice_xor,1,synthetic_control,2.18897,0.8222410036811658,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,262.737,98.6916835699797,full,0.001032,0.00038764931259860255,3,full__gradient_1024x1024__rep3,266.22,scalar_avx2,1024
284.961,3145728,3,chaotic_seed_blake3_xor,1,synthetic_control,1.86648,17.729060202511448,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,7.39348,70.22815782974602,full,0.000869,0.008254336138604457,3,full__gradient_1024x1024__rep3,10.5278,scalar_avx2,1024
