chi_square,cipher,corr_d,corr_h,corr_v,cpa_score,dataset,entropy,image,image_kind,image_size,key_sensitivity,kpa_score,mode,npcr,repeat,run_id,uaci
248.239,logistic_permute_xor,-0.00083402,0.00117043,0.000233675,0.00397205,synthetic_control,7.99994,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,99.6059,0.999999,full,3.17891e-05,3,full__gradient_1024x1024__rep3,1.24663e-07
249.865,arnold_xor,0.006118,-0.0364858,0.00466832,0.00390625,synthetic_control,7.99994,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,99.4014,1,full,3.17891e-05,3,full__gradient_1024x1024__rep3,1.24663e-07
246.823,tiled_arnold_xor,0.00550745,-0.0348819,0.00576026,0.0120443,synthetic_control,7.99994,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,99.4014,1,full,3.17891e-05,3,full__gradient_1024x1024__rep3,1.24663e-07
230.373,tent_block_xor,-0.000982243,-0.00177817,-0.00147273,1,synthetic_control,7.99995,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,99.6171,1,full,3.17891e-05,3,full__gradient_1024x1024__rep3,1.24663e-07
238.261,sine_xor,0.0739947,-0.0724889,0.0797312,1,synthetic_control,7.99995,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,99.3037,1,full,3.17891e-05,3,full__gradient_1024x1024__rep3,1.24663e-07
282.858,coupled_lattice_xor,0.145258,0.0307865,0.148521,1,synthetic_control,7.99994,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,99.4116,1,full,3.17891e-05,3,full__gradient_1024x1024__rep3,1.24663e-07
228.991,hamiltonian_lattice_xor,0.00328686,0.00116489,0.000750087,1,synthetic_control,7.99995,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,99.5381,1,full,3.17891e-05,3,full__gradient_1024x1024__rep3,1.24663e-07
237.155,chaotic_seed_blake3_xor,-0.000112099,-1.78056e-05,0.00181458,1,synthetic_control,7.99995,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,99.605,1,full,3.17891e-05,3,full__gradient_1024x1024__rep3,1.24663e-07
259.904,aes_ctr,0.00148779,-0.00022701,-7.67478e-05,1,synthetic_control,7.99994,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,99.6154,1,full,3.17891e-05,3,full__gradient_1024x1024__rep3,1.24663e-07
265.503,chacha20,-4.66246e-05,0.00109933,-0.00154947,1,synthetic_control,7.99994,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,99.6113,1,full,3.17891e-05,3,full__gradient_1024x1024__rep3,1.24663e-07
258.18,aes_256_gcm,0.000398745,-0.000459001,-0.00109213,1,synthetic_control,7.99994,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,99.6082,1,full,3.17891e-05,3,full__gradient_1024x1024__rep3,1.24663e-07
277.685,chacha20_poly1305,-0.000481299,-0.000695973,0.00199138,1,synthetic_control,7.99994,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,99.6084,1,full,3.17891e-05,3,full__gradient_1024x1024__rep3,1.24663e-07
248.107,logistic_xor,0.00178695,-0.0333235,0.00742823,1,synthetic_control,7.99977,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.3804,1,full,0.000127157,1,full__gradient_512x512__rep1,4.98653e-07
240.924,logistic_permute_xor,0.00143524,0.00459627,0.00029859,0.00385793,synthetic_control,7.99978,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.6068,0.999997,full,0.000127157,1,full__gradient_512x512__rep1,4.98653e-07
255.335,arnold_xor,0.0065554,-0.0381166,0.00574995,0.00390625,synthetic_control,7.99977,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.3804,1,full,0.000127157,1,full__gradient_512x512__rep1,4.98653e-07
253.902,tiled_arnold_xor,0.00595864,-0.0318308,0.00540772,0.0120443,synthetic_control,7.99977,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.3804,1,full,0.000127157,1,full__gradient_512x512__rep1,4.98653e-07
281.894,tent_block_xor,0.000663443,-0.00310728,-0.00170598,1,synthetic_control,7.99974,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.625,1,full,0.000127157,1,full__gradient_512x512__rep1,4.98653e-07
208.794,sine_xor,0.0727493,-0.0729127,0.079319,1,synthetic_control,7.99981,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.2976,1,full,0.000127157,1,full__gradient_512x512__rep1,4.98653e-07
242.123,coupled_lattice_xor,0.146501,0.0275223,0.149401,1,synthetic_control,7.99978,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.4114,1,full,0.000127157,1,full__gradient_512x512__rep1,4.98653e-07
245.696,hamiltonian_lattice_xor,0.00318681,0.000783296,0.00203466,1,synthetic_control,7.99977,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.5286,1,full,0.000127157,1,full__gradient_512x512__rep1,4.98653e-07
220.738,chaotic_seed_blake3_xor,-0.00224542,-0.00142733,0.00323565,1,synthetic_control,7.9998,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.6028,1,full,0.000127157,1,full__gradient_512x512__rep1,4.98653e-07
276.77,aes_ctr,-0.00241401,0.00264012,-0.00097822,1,synthetic_control,7.99975,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.6067,1,full,0.000127157,1,full__gradient_512x512__rep1,4.98653e-07
220.917,chacha20,0.00566,-0.000282329,0.00120264,1,synthetic_control,7.9998,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.6176,1,full,0.000127157,1,full__gradient_512x512__rep1,4.98653e-07
281.626,aes_256_gcm,-0.000896316,0.00117039,0.000349606,1,synthetic_control,7.99974,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.5992,1,full,0.000127157,1,full__gradient_512x512__rep1,4.98653e-07
253.393,chacha20_poly1305,0.0023274,-0.00220301,-0.000521529,1,synthetic_control,7.99977,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.6096,1,full,0.000127157,1,full__gradient_512x512__rep1,4.98653e-07
248.107,logistic_xor,0.00178695,-0.0333235,0.00742823,1,synthetic_control,7.99977,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.3804,1,full,0.000127157,2,full__gradient_512x512__rep2,4.98653e-07
240.924,logistic_permute_xor,0.00143524,0.00459627,0.00029859,0.00385793,synthetic_control,7.99978,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.6068,0.999997,full,0.000127157,2,full__gradient_512x512__rep2,4.98653e-07
255.335,arnold_xor,0.0065554,-0.0381166,0.00574995,0.00390625,synthetic_control,7.99977,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.3804,1,full,0.000127157,2,full__gradient_512x512__rep2,4.98653e-07
253.902,tiled_arnold_xor,0.00595864,-0.0318308,0.00540772,0.0120443,synthetic_control,7.99977,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.3804,1,full,0.000127157,2,full__gradient_512x512__rep2,4.98653e-07
281.894,tent_block_xor,0.000663443,-0.00310728,-0.00170598,1,synthetic_control,7.99974,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.625,1,full,0.000127157,2,full__gradient_512x512__rep2,4.98653e-07
208.794,sine_xor,0.0727493,-0.0729127,0.079319,1,synthetic_control,7.99981,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.2976,1,full,0.000127157,2,full__gradient_512x512__rep2,4.98653e-07
242.123,coupled_lattice_xor,0.146501,0.0275223,0.149401,1,synthetic_control,7.99978,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.4114,1,full,0.000127157,2,full__gradient_512x512__rep2,4.98653e-07
245.696,hamiltonian_lattice_xor,0.00318681,0.000783296,0.00203466,1,synthetic_control,7.99977,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.5286,1,full,0.000127157,2,full__gradient_512x512__rep2,4.98653e-07
220.738,chaotic_seed_blake3_xor,-0.00224542,-0.00142733,0.00323565,1,synthetic_control,7.9998,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.6028,1,full,0.000127157,2,full__gradient_512x512__rep2,4.98653e-07
276.77,aes_ctr,-0.00241401,0.00264012,-0.00097822,1,synthetic_control,7.99975,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.6067,1,full,0.000127157,2,full__gradient_512x512__rep2,4.98653e-07
220.917,chacha20,0.00566,-0.000282329,0.00120264,1,synthetic_control,7.9998,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.6176,1,full,0.000127157,2,full__gradient_512x512__rep2,4.98653e-07
281.626,aes_256_gcm,-0.000896316,0.00117039,0.000349606,1,synthetic_control,7.99974,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.5992,1,full,0.000127157,2,full__gradient_512x512__rep2,4.98653e-07
253.393,chacha20_poly1305,0.0023274,-0.00220301,-0.000521529,1,synthetic_control,7.99977,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.6096,1,full,0.000127157,2,full__gradient_512x512__rep2,4.98653e-07
248.107,logistic_xor,0.00178695,-0.0333235,0.00742823,1,synthetic_control,7.99977,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.3804,1,full,0.000127157,3,full__gradient_512x512__rep3,4.98653e-07
240.924,logistic_permute_xor,0.00143524,0.00459627,0.00029859,0.00385793,synthetic_control,7.99978,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.6068,0.999997,full,0.000127157,3,full__gradient_512x512__rep3,4.98653e-07
255.335,arnold_xor,0.0065554,-0.0381166,0.00574995,0.00390625,synthetic_control,7.99977,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.3804,1,full,0.000127157,3,full__gradient_512x512__rep3,4.98653e-07
253.902,tiled_arnold_xor,0.00595864,-0.0318308,0.00540772,0.0120443,synthetic_control,7.99977,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.3804,1,full,0.000127157,3,full__gradient_512x512__rep3,4.98653e-07
281.894,tent_block_xor,0.000663443,-0.00310728,-0.00170598,1,synthetic_control,7.99974,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.625,1,full,0.000127157,3,full__gradient_512x512__rep3,4.98653e-07
208.794,sine_xor,0.0727493,-0.0729127,0.079319,1,synthetic_control,7.99981,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.2976,1,full,0.000127157,3,full__gradient_512x512__rep3,4.98653e-07
242.123,coupled_lattice_xor,0.146501,0.0275223,0.149401,1,synthetic_control,7.99978,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.4114,1,full,0.000127157,3,full__gradient_512x512__rep3,4.98653e-07
245.696,hamiltonian_lattice_xor,0.00318681,0.000783296,0.00203466,1,synthetic_control,7.99977,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.5286,1,full,0.000127157,3,full__gradient_512x512__rep3,4.98653e-07
220.738,chaotic_seed_blake3_xor,-0.00224542,-0.00142733,0.00323565,1,synthetic_control,7.9998,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.6028,1,full,0.000127157,3,full__gradient_512x512__rep3,4.98653e-07
276.77,aes_ctr,-0.00241401,0.00264012,-0.00097822,1,synthetic_control,7.99975,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.6067,1,full,0.000127157,3,full__gradient_512x512__rep3,4.98653e-07
220.917,chacha20,0.00566,-0.000282329,0.00120264,1,synthetic_control,7.9998,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.6176,1,full,0.000127157,3,full__gradient_512x512__rep3,4.98653e-07
281.626,aes_256_gcm,-0.000896316,0.00117039,0.000349606,1,synthetic_control,7.99974,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.5992,1,full,0.000127157,3,full__gradient_512x512__rep3,4.98653e-07
253.393,chacha20_poly1305,0.0023274,-0.00220301,-0.000521529,1,synthetic_control,7.99977,images/datasets/synthetic/gradient_512x512.ppm,gradient,512x512,99.6096,1,full,0.000127157,3,full__gradient_512x512__rep3,4.98653e-07
290.68,logistic_xor,-0.00101182,-0.000542191,0.0013074,1,synthetic_control,7.99993,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.4014,1,full,3.17891e-05,1,full__noise_1024x1024__rep1,1.24663e-07
259.853,logistic_permute_xor,-0.00179752,0.000160888,-0.00080184,0.00387287,synthetic_control,7.99994,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.6137,0.999999,full,3.17891e-05,1,full__noise_1024x1024__rep1,1.24663e-07
262.457,arnold_xor,-0.00104509,-3.78812e-05,0.000559983,0.00393454,synthetic_control,7.99994,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.4014,1,full,3.17891e-05,1,full__noise_1024x1024__rep1,1.24663e-07
253.039,tiled_arnold_xor,-0.000530182,-0.000595309,-0.000569255,0.00487264,synthetic_control,7.99994,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.4014,1,full,3.17891e-05,1,full__noise_1024x1024__rep1,1.24663e-07
242.949,tent_block_xor,8.18217e-05,4.96963e-05,-0.000288345,1,synthetic_control,7.99994,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.6171,1,full,3.17891e-05,1,full__noise_1024x1024__rep1,1.24663e-07
251.934,sine_xor,0.00128987,-0.000411268,-0.00100322,1,synthetic_control,7.99994,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.3037,1,full,3.17891e-05,1,full__noise_1024x1024__rep1,1.24663e-07
273.651,coupled_lattice_xor,0.000707348,-0.000756515,-9.84084e-05,1,synthetic_control,7.99994,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.4116,1,full,3.17891e-05,1,full__noise_1024x1024__rep1,1.24663e-07
242.715,hamiltonian_lattice_xor,0.00124899,-0.00121144,-0.000680958,1,synthetic_control,7.99994,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.5381,1,full,3.17891e-05,1,full__noise_1024x1024__rep1,1.24663e-07
201.498,chaotic_seed_blake3_xor,-0.000812459,0.00119181,-0.000539402,1,synthetic_control,7.99995,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.605,1,full,3.17891e-05,1,full__noise_1024x1024__rep1,1.24663e-07
223.568,aes_ctr,-0.00162011,0.000539371,0.000803192,1,synthetic_control,7.99995,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.6154,1,full,3.17891e-05,1,full__noise_1024x1024__rep1,1.24663e-07
238.041,chacha20,0.00102835,-8.78987e-05,0.00217584,1,synthetic_control,7.99995,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.6113,1,full,3.17891e-05,1,full__noise_1024x1024__rep1,1.24663e-07
234.755,aes_256_gcm,0.00127735,0.000586465,0.00131926,1,synthetic_control,7.99995,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.6082,1,full,3.17891e-05,1,full__noise_1024x1024__rep1,1.24663e-07
243.71,chacha20_poly1305,0.00138329,0.000646418,-0.000684578,1,synthetic_control,7.99994,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.6084,1,full,3.17891e-05,1,full__noise_1024x1024__rep1,1.24663e-07
290.68,logistic_xor,-0.00101182,-0.000542191,0.0013074,1,synthetic_control,7.99993,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.4014,1,full,3.17891e-05,2,full__noise_1024x1024__rep2,1.24663e-07
259.853,logistic_permute_xor,-0.00179752,0.000160888,-0.00080184,0.00387287,synthetic_control,7.99994,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.6137,0.999999,full,3.17891e-05,2,full__noise_1024x1024__rep2,1.24663e-07
262.457,arnold_xor,-0.00104509,-3.78812e-05,0.000559983,0.00393454,synthetic_control,7.99994,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.4014,1,full,3.17891e-05,2,full__noise_1024x1024__rep2,1.24663e-07
253.039,tiled_arnold_xor,-0.000530182,-0.000595309,-0.000569255,0.00487264,synthetic_control,7.99994,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.4014,1,full,3.17891e-05,2,full__noise_1024x1024__rep2,1.24663e-07
242.949,tent_block_xor,8.18217e-05,4.96963e-05,-0.000288345,1,synthetic_control,7.99994,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.6171,1,full,3.17891e-05,2,full__noise_1024x1024__rep2,1.24663e-07
251.934,sine_xor,0.00128987,-0.000411268,-0.00100322,1,synthetic_control,7.99994,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.3037,1,full,3.17891e-05,2,full__noise_1024x1024__rep2,1.24663e-07
273.651,coupled_lattice_xor,0.000707348,-0.000756515,-9.84084e-05,1,synthetic_control,7.99994,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.4116,1,full,3.17891e-05,2,full__noise_1024x1024__rep2,1.24663e-07
242.715,hamiltonian_lattice_xor,0.00124899,-0.00121144,-0.000680958,1,synthetic_control,7.99994,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.5381,1,full,3.17891e-05,2,full__noise_1024x1024__rep2,1.24663e-07
201.498,chaotic_seed_blake3_xor,-0.000812459,0.00119181,-0.000539402,1,synthetic_control,7.99995,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.605,1,full,3.17891e-05,2,full__noise_1024x1024__rep2,1.24663e-07
223.568,aes_ctr,-0.00162011,0.000539371,0.000803192,1,synthetic_control,7.99995,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.6154,1,full,3.17891e-05,2,full__noise_1024x1024__rep2,1.24663e-07
238.041,chacha20,0.00102835,-8.78987e-05,0.00217584,1,synthetic_control,7.99995,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.6113,1,full,3.17891e-05,2,full__noise_1024x1024__rep2,1.24663e-07
234.755,aes_256_gcm,0.00127735,0.000586465,0.00131926,1,synthetic_control,7.99995,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.6082,1,full,3.17891e-05,2,full__noise_1024x1024__rep2,1.24663e-07
243.71,chacha20_poly1305,0.00138329,0.000646418,-0.000684578,1,synthetic_control,7.99994,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.6084,1,full,3.17891e-05,2,full__noise_1024x1024__rep2,1.24663e-07
290.68,logistic_xor,-0.00101182,-0.000542191,0.0013074,1,synthetic_control,7.99993,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.4014,1,full,3.17891e-05,3,full__noise_1024x1024__rep3,1.24663e-07
259.853,logistic_permute_xor,-0.00179752,0.000160888,-0.00080184,0.00387287,synthetic_control,7.99994,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.6137,0.999999,full,3.17891e-05,3,full__noise_1024x1024__rep3,1.24663e-07
262.457,arnold_xor,-0.00104509,-3.78812e-05,0.000559983,0.00393454,synthetic_control,7.99994,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.4014,1,full,3.17891e-05,3,full__noise_1024x1024__rep3,1.24663e-07
253.039,tiled_arnold_xor,-0.000530182,-0.000595309,-0.000569255,0.00487264,synthetic_control,7.99994,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.4014,1,full,3.17891e-05,3,full__noise_1024x1024__rep3,1.24663e-07
242.949,tent_block_xor,8.18217e-05,4.96963e-05,-0.000288345,1,synthetic_control,7.99994,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.6171,1,full,3.17891e-05,3,full__noise_1024x1024__rep3,1.24663e-07
251.934,sine_xor,0.00128987,-0.000411268,-0.00100322,1,synthetic_control,7.99994,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.3037,1,full,3.17891e-05,3,full__noise_1024x1024__rep3,1.24663e-07
273.651,coupled_lattice_xor,0.000707348,-0.000756515,-9.84084e-05,1,synthetic_control,7.99994,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.4116,1,full,3.17891e-05,3,full__noise_1024x1024__rep3,1.24663e-07
242.715,hamiltonian_lattice_xor,0.00124899,-0.00121144,-0.000680958,1,synthetic_control,7.99994,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.5381,1,full,3.17891e-05,3,full__noise_1024x1024__rep3,1.24663e-07
201.498,chaotic_seed_blake3_xor,-0.000812459,0.00119181,-0.000539402,1,synthetic_control,7.99995,images/datasets/synthetic/noise_1024x1024.ppm,noise,1024x1024,99.605,1,full,3.17891e-05,3,full__noise_1024x1024__rep3,1.24663e-07
