MBps,bytes,channels,checksum,diffusion,diffusion_ms,height,image,image_kind,image_size,keygen_ms,keystream,mode,permutation,permutation_ms,repeat,run_id,scheme,total_ms,width
92.8387,12288,3,6839393145546896214,arx_block,0.012774,64,images/datasets/smoke/gradient_64x64.ppm,gradient,64x64,0.023731,cellular_automata,candidates,feistel_index,0.086891,1,candidates__gradient_64x64__rep1,CA-Feistel-ARX,0.126227,64
39.3142,12288,3,11488491478164946688,stencil,0.052502,64,images/datasets/smoke/gradient_64x64.ppm,gradient,64x64,0.168082,cml,candidates,feistel_index,0.075513,1,candidates__gradient_64x64__rep1,CML-Feistel-Stencil,0.298079,64
5.88822,12288,3,4650408864974934805,stencil,0.061194,64,images/datasets/smoke/gradient_64x64.ppm,gradient,64x64,1.79007,hamiltonian,candidates,block_feistel,0.136078,1,candidates__gradient_64x64__rep1,Hamiltonian-Block-Stencil,1.9902,64
33.0032,12288,3,9342176899522218646,bitplane,0.02644,64,images/datasets/smoke/gradient_64x64.ppm,gradient,64x64,0.169091,cml,candidates,affine_bitplane,0.15713,1,candidates__gradient_64x64__rep1,Affine-CML-Bitplane,0.355079,64
306.613,12288,3,11351721593315219000,arx_block,0.008519,64,images/datasets/smoke/gradient_64x64.ppm,gradient,64x64,0.023611,cellular_automata,candidates,checkerboard_swaps,0.003829,1,candidates__gradient_64x64__rep1,Checkerboard-CA-ARX,0.03822,64
54.9109,12288,3,8692589708652513009,prefix_tree_reverse,0.051066,64,images/datasets/smoke/gradient_64x64.ppm,gradient,64x64,0.017026,cellular_automata,candidates,affine_bitplane,0.143513,1,candidates__gradient_64x64__rep1,Affine-CA-PrefixTree,0.213414,64
442.835,12288,3,12394899591018030461,multilane_tree,0.005193,64,images/datasets/smoke/gradient_64x64.ppm,gradient,64x64,0.017084,cellular_automata,candidates,checkerboard_swaps,0.002442,1,candidates__gradient_64x64__rep1,Checkerboard-CA-MultilaneTree,0.026463,64
