MBps_max,MBps_mean,MBps_median,MBps_min,MBps_stddev,category,image_size,n,stage
180.963,160.37944444444443,163.05,132.427,13.480656754319421,permutation,1024x1024,9,arnold_cat_map
138.872,129.41133333333335,128.243,121.383,6.016697744610415,permutation,2048x2048,9,arnold_cat_map
179.132,169.829,168.292,160.759,5.940372862876545,permutation,512x512,9,arnold_cat_map
582.6,504.5967777777778,496.703,461.952,37.20275208831256,permutation,1024x1024,9,block_permutation
485.651,441.8114444444444,448.521,411.593,24.4386012647569,permutation,2048x2048,9,block_permutation
544.149,502.9608888888889,504.023,448.453,36.954831640952044,permutation,512x512,9,block_permutation
3.86591,3.6884066666666664,3.74823,3.46488,0.14356718940969762,permutation,1024x1024,9,chaotic_sort
5.39939,4.9636877777777775,5.00141,4.50335,0.3069679104066816,permutation,512x512,9,chaotic_sort
240.019,208.33922222222222,210.057,185.642,16.156803155155558,permutation,1024x1024,9,checkerboard_swaps
200.367,189.48444444444442,189.104,181.203,6.047769508486393,permutation,2048x2048,9,checkerboard_swaps
220.62,197.42666666666665,197.677,168.331,15.597712196024137,permutation,512x512,9,checkerboard_swaps
118.778,102.87142222222222,101.214,93.7666,7.197472608280248,permutation,1024x1024,9,feistel_index
89.9819,76.43483333333333,75.8091,60.8048,8.33651006222028,permutation,2048x2048,9,feistel_index
108.046,100.1979,102.995,78.7522,8.682585873459589,permutation,512x512,9,feistel_index
62.0612,55.436733333333336,54.5647,53.1576,2.8579457447614356,permutation,1024x1024,9,random_walk
62.023,56.40743333333333,56.377,51.0422,3.5212885375952934,permutation,512x512,9,random_walk
