MBps,bytes,channels,checksum,diffusion,diffusion_ms,height,image,image_kind,image_size,keygen_ms,keystream,mode,permutation,permutation_ms,repeat,run_id,scheme,total_ms,width
47.239,3145728,3,10110719001919709732,prefix_tree_reverse,15.0752,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,6.57518,cellular_automata,candidates,affine_bitplane,41.8523,3,candidates__gradient_1024x1024__rep3,Affine-CA-PrefixTree,63.5069,1024
210.954,3145728,3,17832815617474424009,multilane_tree,5.22312,1024,images/datasets/synthetic/gradient_1024x1024.ppm,gradient,1024x1024,6.27572,cellular_automata,candidates,checkerboard_swaps,2.71832,3,candidates__gradient_1024x1024__rep3,Checkerboard-CA-MultilaneTree,14.2211,1024
57.9514,12582912,3,17970918682022726495,arx_block,14.7785,2048,images/datasets/synthetic/gradient_2048x2048.ppm,gradient,2048x2048,28.8036,cellular_automata,candidates,feistel_index,163.481,1,candidates__gradient_2048x2048__rep1,CA-Feistel-ARX,207.07,2048
30.7324,12582912,3,1476863585197703979,stencil,57.2498,2048,images/datasets/synthetic/gradient_2048x2048.ppm,gradient,2048x2048,190.415,cml,candidates,feistel_index,142.795,1,candidates__gradient_2048x2048__rep1,CML-Feistel-Stencil,390.467,2048
9.75711,12582912,3,16529427070144471624,stencil,52.5036,2048,images/datasets/synthetic/gradient_2048x2048.ppm,gradient,2048x2048,1043.02,hamiltonian,candidates,block_feistel,134.342,1,candidates__gradient_2048x2048__rep1,Hamiltonian-Block-Stencil,1229.87,2048
30.086,12582912,3,18286951560419403537,bitplane,27.2803,2048,images/datasets/synthetic/gradient_2048x2048.ppm,gradient,2048x2048,183.831,cml,candidates,affine_bitplane,187.74,1,candidates__gradient_2048x2048__rep1,Affine-CML-Bitplane,398.856,2048
223.209,12582912,3,15296360051045944194,arx_block,14.0132,2048,images/datasets/synthetic/gradient_2048x2048.ppm,gradient,2048x2048,26.4706,cellular_automata,candidates,checkerboard_swaps,13.2724,1,candidates__gradient_2048x2048__rep1,Checkerboard-CA-ARX,53.7613,2048
43.0916,12582912,3,15122475835053983483,prefix_tree_reverse,71.1841,2048,images/datasets/synthetic/gradient_2048x2048.ppm,gradient,2048x2048,25.9093,cellular_automata,candidates,affine_bitplane,181.378,1,candidates__gradient_2048x2048__rep1,Affine-CA-PrefixTree,278.476,2048
168.025,12582912,3,15952745533059969249,multilane_tree,30.6436,2048,images/datasets/synthetic/gradient_2048x2048.ppm,gradient,2048x2048,27.7631,cellular_automata,candidates,checkerboard_swaps,13.0041,1,candidates__gradient_2048x2048__rep1,Checkerboard-CA-MultilaneTree,71.4177,2048
65.0394,12582912,3,17970918682022726495,arx_block,15.8971,2048,images/datasets/synthetic/gradient_2048x2048.ppm,gradient,2048x2048,28.1506,cellular_automata,candidates,feistel_index,140.449,2,candidates__gradient_2048x2048__rep2,CA-Feistel-ARX,184.504,2048
30.2273,12582912,3,1476863585197703979,stencil,49.4068,2048,images/datasets/synthetic/gradient_2048x2048.ppm,gradient,2048x2048,195.565,cml,candidates,feistel_index,152.014,2,candidates__gradient_2048x2048__rep2,CML-Feistel-Stencil,396.992,2048
